date,ticker,close
2022-01-03,AAPL,182.01
2022-01-04,AAPL,179.7
2022-01-05,AAPL,174.92
2022-01-06,AAPL,172
2022-01-07,AAPL,172.17
2022-01-10,AAPL,172.19
2022-01-11,AAPL,175.08
2022-01-12,AAPL,175.53
2022-01-13,AAPL,172.19
2022-01-14,AAPL,173.07
2022-01-18,AAPL,169.8
2022-01-19,AAPL,166.23
2022-01-20,AAPL,164.51
2022-01-21,AAPL,162.41
2022-01-24,AAPL,161.62
2022-01-25,AAPL,159.78
2022-01-26,AAPL,159.69
2022-01-27,AAPL,159.22
2022-01-28,AAPL,170.33
2022-01-31,AAPL,174.78
2022-02-01,AAPL,174.61
2022-02-02,AAPL,175.84
2022-02-03,AAPL,172.9
2022-02-04,AAPL,172.39
2022-02-07,AAPL,171.66
2022-02-08,AAPL,174.83
2022-02-09,AAPL,176.28
2022-02-10,AAPL,172.12
2022-02-11,AAPL,168.64
2022-02-14,AAPL,168.88
2022-02-15,AAPL,172.79
2022-02-16,AAPL,172.55
2022-02-17,AAPL,168.88
2022-02-18,AAPL,167.3
2022-02-22,AAPL,164.32
2022-02-23,AAPL,160.07
2022-02-24,AAPL,162.74
2022-02-25,AAPL,164.85
2022-02-28,AAPL,165.12
2022-03-01,AAPL,163.2
2022-03-02,AAPL,166.56
2022-03-03,AAPL,166.23
2022-03-04,AAPL,163.17
2022-03-07,AAPL,159.3
2022-03-08,AAPL,157.44
2022-03-09,AAPL,162.95
2022-03-10,AAPL,158.52
2022-03-11,AAPL,154.73
2022-03-14,AAPL,150.62
2022-03-15,AAPL,155.09
2022-03-16,AAPL,159.59
2022-03-17,AAPL,160.62
2022-03-18,AAPL,163.98
2022-03-21,AAPL,165.38
2022-03-22,AAPL,168.82
2022-03-23,AAPL,170.21
2022-03-24,AAPL,174.07
2022-03-25,AAPL,174.72
2022-03-28,AAPL,175.6
2022-03-29,AAPL,178.96
2022-03-30,AAPL,177.77
2022-03-31,AAPL,174.61
2022-04-01,AAPL,174.31
2022-04-04,AAPL,178.44
2022-04-05,AAPL,175.06
2022-04-06,AAPL,171.83
2022-04-07,AAPL,172.14
2022-04-08,AAPL,170.09
2022-04-11,AAPL,165.75
2022-04-12,AAPL,167.66
2022-04-13,AAPL,170.4
2022-04-14,AAPL,165.29
2022-04-18,AAPL,165.07
2022-04-19,AAPL,167.4
2022-04-20,AAPL,167.23
2022-04-21,AAPL,166.42
2022-04-22,AAPL,161.79
2022-04-25,AAPL,162.88
2022-04-26,AAPL,156.8
2022-04-27,AAPL,156.57
2022-04-28,AAPL,163.64
2022-04-29,AAPL,157.65
2022-05-02,AAPL,157.96
2022-05-03,AAPL,159.48
2022-05-04,AAPL,166.02
2022-05-05,AAPL,156.77
2022-05-06,AAPL,157.28
2022-05-09,AAPL,152.06
2022-05-10,AAPL,154.51
2022-05-11,AAPL,146.5
2022-05-12,AAPL,142.56
2022-05-13,AAPL,147.11
2022-05-16,AAPL,145.54
2022-05-17,AAPL,149.24
2022-05-18,AAPL,140.82
2022-05-19,AAPL,137.35
2022-05-20,AAPL,137.59
2022-05-23,AAPL,143.11
2022-05-24,AAPL,140.36
2022-05-25,AAPL,140.52
2022-05-26,AAPL,143.78
2022-05-27,AAPL,149.64
2022-05-31,AAPL,148.84
2022-06-01,AAPL,148.71
2022-06-02,AAPL,151.21
2022-06-03,AAPL,145.38
2022-06-06,AAPL,146.14
2022-06-07,AAPL,148.71
2022-06-08,AAPL,147.96
2022-06-09,AAPL,142.64
2022-06-10,AAPL,137.13
2022-06-13,AAPL,131.88
2022-06-14,AAPL,132.76
2022-06-15,AAPL,135.43
2022-06-16,AAPL,130.06
2022-06-17,AAPL,131.56
2022-06-21,AAPL,135.87
2022-06-22,AAPL,135.35
2022-06-23,AAPL,138.27
2022-06-24,AAPL,141.66
2022-06-27,AAPL,141.66
2022-06-28,AAPL,137.44
2022-06-29,AAPL,139.23
2022-06-30,AAPL,136.72
2022-07-01,AAPL,138.93
2022-07-05,AAPL,141.56
2022-07-06,AAPL,142.92
2022-07-07,AAPL,146.35
2022-07-08,AAPL,147.04
2022-07-11,AAPL,144.87
2022-07-12,AAPL,145.86
2022-07-13,AAPL,145.49
2022-07-14,AAPL,148.47
2022-07-15,AAPL,150.17
2022-07-18,AAPL,147.07
2022-07-19,AAPL,151
2022-07-20,AAPL,153.04
2022-07-21,AAPL,155.35
2022-07-22,AAPL,154.09
2022-07-25,AAPL,152.95
2022-07-26,AAPL,151.6
2022-07-27,AAPL,156.79
2022-07-28,AAPL,157.35
2022-07-29,AAPL,162.51
2022-08-01,AAPL,161.51
2022-08-02,AAPL,160.01
2022-08-03,AAPL,166.13
2022-08-04,AAPL,165.81
2022-08-05,AAPL,165.35
2022-08-08,AAPL,164.87
2022-08-09,AAPL,164.92
2022-08-10,AAPL,169.24
2022-08-11,AAPL,168.49
2022-08-12,AAPL,172.1
2022-08-15,AAPL,173.19
2022-08-16,AAPL,173.03
2022-08-17,AAPL,174.55
2022-08-18,AAPL,174.15
2022-08-19,AAPL,171.52
2022-08-22,AAPL,167.57
2022-08-23,AAPL,167.23
2022-08-24,AAPL,167.53
2022-08-25,AAPL,170.03
2022-08-26,AAPL,163.62
2022-08-29,AAPL,161.38
2022-08-30,AAPL,158.91
2022-08-31,AAPL,157.22
2022-09-01,AAPL,157.96
2022-09-02,AAPL,155.81
2022-09-06,AAPL,154.53
2022-09-07,AAPL,155.96
2022-09-08,AAPL,154.46
2022-09-09,AAPL,157.37
2022-09-12,AAPL,163.43
2022-09-13,AAPL,153.84
2022-09-14,AAPL,155.31
2022-09-15,AAPL,152.37
2022-09-16,AAPL,150.7
2022-09-19,AAPL,154.48
2022-09-20,AAPL,156.9
2022-09-21,AAPL,153.72
2022-09-22,AAPL,152.74
2022-09-23,AAPL,150.43
2022-09-26,AAPL,150.77
2022-09-27,AAPL,151.76
2022-09-28,AAPL,149.84
2022-09-29,AAPL,142.48
2022-09-30,AAPL,138.2
2022-10-03,AAPL,142.45
2022-10-04,AAPL,146.1
2022-10-05,AAPL,146.4
2022-10-06,AAPL,145.43
2022-10-07,AAPL,140.09
2022-10-10,AAPL,140.42
2022-10-11,AAPL,138.98
2022-10-12,AAPL,138.34
2022-10-13,AAPL,142.99
2022-10-14,AAPL,138.38
2022-10-17,AAPL,142.41
2022-10-18,AAPL,143.75
2022-10-19,AAPL,143.86
2022-10-20,AAPL,143.39
2022-10-21,AAPL,147.27
2022-10-24,AAPL,149.45
